GEO_ID,NAME,Med_Inc,GEOID
1400000US27053000101,"Census Tract 1.01, Hennepin County, Minnesota",70927,27053000101
1400000US27053000102,"Census Tract 1.02, Hennepin County, Minnesota",46333,27053000102
1400000US27053000300,"Census Tract 3, Hennepin County, Minnesota",82098,27053000300
1400000US27053000601,"Census Tract 6.01, Hennepin County, Minnesota",71122,27053000601
1400000US27053000603,"Census Tract 6.03, Hennepin County, Minnesota",96875,27053000603
1400000US27053001100,"Census Tract 11, Hennepin County, Minnesota",69509,27053001100
1400000US27053001700,"Census Tract 17, Hennepin County, Minnesota",56338,27053001700
1400000US27053002200,"Census Tract 22, Hennepin County, Minnesota",47688,27053002200
1400000US27053002400,"Census Tract 24, Hennepin County, Minnesota",65772,27053002400
1400000US27053002700,"Census Tract 27, Hennepin County, Minnesota",47197,27053002700
1400000US27053003200,"Census Tract 32, Hennepin County, Minnesota",65329,27053003200
1400000US27053003300,"Census Tract 33, Hennepin County, Minnesota",38286,27053003300
1400000US27053003801,"Census Tract 38.01, Hennepin County, Minnesota",43750,27053003801
1400000US27053003802,"Census Tract 38.02, Hennepin County, Minnesota",40400,27053003802
1400000US27053005901,"Census Tract 59.01, Hennepin County, Minnesota",23256,27053005901
1400000US27053005902,"Census Tract 59.02, Hennepin County, Minnesota",38554,27053005902
1400000US27053006800,"Census Tract 68, Hennepin County, Minnesota",42753,27053006800
1400000US27053007700,"Census Tract 77, Hennepin County, Minnesota",71670,27053007700
1400000US27053007801,"Census Tract 78.01, Hennepin County, Minnesota",43036,27053007801
1400000US27053008100,"Census Tract 81, Hennepin County, Minnesota",57802,27053008100
1400000US27053008200,"Census Tract 82, Hennepin County, Minnesota",39420,27053008200
1400000US27053008300,"Census Tract 83, Hennepin County, Minnesota",51250,27053008300
1400000US27053008400,"Census Tract 84, Hennepin County, Minnesota",69600,27053008400
1400000US27053008500,"Census Tract 85, Hennepin County, Minnesota",45640,27053008500
1400000US27053009500,"Census Tract 95, Hennepin County, Minnesota",72766,27053009500
1400000US27053009600,"Census Tract 96, Hennepin County, Minnesota",71250,27053009600
1400000US27053010600,"Census Tract 106, Hennepin County, Minnesota",127396,27053010600
1400000US27053010700,"Census Tract 107, Hennepin County, Minnesota",125750,27053010700
1400000US27053011000,"Census Tract 110, Hennepin County, Minnesota",104306,27053011000
1400000US27053011703,"Census Tract 117.03, Hennepin County, Minnesota",133859,27053011703
1400000US27053011704,"Census Tract 117.04, Hennepin County, Minnesota",126250,27053011704
1400000US27053011800,"Census Tract 118, Hennepin County, Minnesota",111364,27053011800
1400000US27053011998,"Census Tract 119.98, Hennepin County, Minnesota",80966,27053011998
1400000US27053012001,"Census Tract 120.01, Hennepin County, Minnesota",117631,27053012001
1400000US27053012003,"Census Tract 120.03, Hennepin County, Minnesota",82014,27053012003
1400000US27053012101,"Census Tract 121.01, Hennepin County, Minnesota",60375,27053012101
1400000US27053012102,"Census Tract 121.02, Hennepin County, Minnesota",81977,27053012102
1400000US27053020101,"Census Tract 201.01, Hennepin County, Minnesota",118594,27053020101
1400000US27053020102,"Census Tract 201.02, Hennepin County, Minnesota",73482,27053020102
1400000US27053020201,"Census Tract 202.01, Hennepin County, Minnesota",65455,27053020201
1400000US27053020202,"Census Tract 202.02, Hennepin County, Minnesota",59876,27053020202
1400000US27053020301,"Census Tract 203.01, Hennepin County, Minnesota",75147,27053020301
1400000US27053020302,"Census Tract 203.02, Hennepin County, Minnesota",51705,27053020302
1400000US27053020303,"Census Tract 203.03, Hennepin County, Minnesota",81411,27053020303
1400000US27053020304,"Census Tract 203.04, Hennepin County, Minnesota",57875,27053020304
1400000US27053020400,"Census Tract 204, Hennepin County, Minnesota",55321,27053020400
1400000US27053020500,"Census Tract 205, Hennepin County, Minnesota",70970,27053020500
1400000US27053020600,"Census Tract 206, Hennepin County, Minnesota",70089,27053020600
1400000US27053020700,"Census Tract 207, Hennepin County, Minnesota",62404,27053020700
1400000US27053020801,"Census Tract 208.01, Hennepin County, Minnesota",57469,27053020801
1400000US27053020804,"Census Tract 208.04, Hennepin County, Minnesota",66875,27053020804
1400000US27053020902,"Census Tract 209.02, Hennepin County, Minnesota",95855,27053020902
1400000US27053020903,"Census Tract 209.03, Hennepin County, Minnesota",84792,27053020903
1400000US27053021001,"Census Tract 210.01, Hennepin County, Minnesota",67473,27053021001
1400000US27053021002,"Census Tract 210.02, Hennepin County, Minnesota",75556,27053021002
1400000US27053021100,"Census Tract 211, Hennepin County, Minnesota",99853,27053021100
1400000US27053021200,"Census Tract 212, Hennepin County, Minnesota",87599,27053021200
1400000US27053021300,"Census Tract 213, Hennepin County, Minnesota",39630,27053021300
1400000US27053021400,"Census Tract 214, Hennepin County, Minnesota",76839,27053021400
1400000US27053021501,"Census Tract 215.01, Hennepin County, Minnesota",64621,27053021501
1400000US27053021502,"Census Tract 215.02, Hennepin County, Minnesota",37413,27053021502
1400000US27053021503,"Census Tract 215.03, Hennepin County, Minnesota",54026,27053021503
1400000US27053021504,"Census Tract 215.04, Hennepin County, Minnesota",61547,27053021504
1400000US27053021505,"Census Tract 215.05, Hennepin County, Minnesota",83380,27053021505
1400000US27053021601,"Census Tract 216.01, Hennepin County, Minnesota",79167,27053021601
1400000US27053021602,"Census Tract 216.02, Hennepin County, Minnesota",67132,27053021602
1400000US27053021700,"Census Tract 217, Hennepin County, Minnesota",130404,27053021700
1400000US27053021800,"Census Tract 218, Hennepin County, Minnesota",108510,27053021800
1400000US27053021900,"Census Tract 219, Hennepin County, Minnesota",100761,27053021900
1400000US27053022000,"Census Tract 220, Hennepin County, Minnesota",82340,27053022000
1400000US27053022101,"Census Tract 221.01, Hennepin County, Minnesota",89792,27053022101
1400000US27053022102,"Census Tract 221.02, Hennepin County, Minnesota",61213,27053022102
1400000US27053022200,"Census Tract 222, Hennepin County, Minnesota",87054,27053022200
1400000US27053022301,"Census Tract 223.01, Hennepin County, Minnesota",94656,27053022301
1400000US27053022302,"Census Tract 223.02, Hennepin County, Minnesota",53393,27053022302
1400000US27053022400,"Census Tract 224, Hennepin County, Minnesota",89891,27053022400
1400000US27053022700,"Census Tract 227, Hennepin County, Minnesota",74817,27053022700
1400000US27053022801,"Census Tract 228.01, Hennepin County, Minnesota",179743,27053022801
1400000US27053022802,"Census Tract 228.02, Hennepin County, Minnesota",66364,27053022802
1400000US27053022901,"Census Tract 229.01, Hennepin County, Minnesota",80012,27053022901
1400000US27053022902,"Census Tract 229.02, Hennepin County, Minnesota",134250,27053022902
1400000US27053023000,"Census Tract 230, Hennepin County, Minnesota",86106,27053023000
1400000US27053023100,"Census Tract 231, Hennepin County, Minnesota",161458,27053023100
1400000US27053023201,"Census Tract 232.01, Hennepin County, Minnesota",68434,27053023201
1400000US27053023202,"Census Tract 232.02, Hennepin County, Minnesota",52370,27053023202
1400000US27053023300,"Census Tract 233, Hennepin County, Minnesota",64792,27053023300
1400000US27053023401,"Census Tract 234.01, Hennepin County, Minnesota",49659,27053023401
1400000US27053023402,"Census Tract 234.02, Hennepin County, Minnesota",63990,27053023402
1400000US27053023501,"Census Tract 235.01, Hennepin County, Minnesota",73984,27053023501
1400000US27053023502,"Census Tract 235.02, Hennepin County, Minnesota",107303,27053023502
1400000US27053023600,"Census Tract 236, Hennepin County, Minnesota","250,000",27053023600
1400000US27053023700,"Census Tract 237, Hennepin County, Minnesota",165865,27053023700
1400000US27053023801,"Census Tract 238.01, Hennepin County, Minnesota",153917,27053023801
1400000US27053023802,"Census Tract 238.02, Hennepin County, Minnesota",133333,27053023802
1400000US27053023901,"Census Tract 239.01, Hennepin County, Minnesota",146328,27053023901
1400000US27053023902,"Census Tract 239.02, Hennepin County, Minnesota",200438,27053023902
1400000US27053023903,"Census Tract 239.03, Hennepin County, Minnesota",107232,27053023903
1400000US27053024003,"Census Tract 240.03, Hennepin County, Minnesota",86904,27053024003
1400000US27053024004,"Census Tract 240.04, Hennepin County, Minnesota",47857,27053024004
1400000US27053024005,"Census Tract 240.05, Hennepin County, Minnesota",62426,27053024005
1400000US27053024006,"Census Tract 240.06, Hennepin County, Minnesota",132604,27053024006
1400000US27053024100,"Census Tract 241, Hennepin County, Minnesota",73897,27053024100
1400000US27053024200,"Census Tract 242, Hennepin County, Minnesota",108476,27053024200
1400000US27053024300,"Census Tract 243, Hennepin County, Minnesota",71071,27053024300
1400000US27053024400,"Census Tract 244, Hennepin County, Minnesota",52304,27053024400
1400000US27053024500,"Census Tract 245, Hennepin County, Minnesota",91827,27053024500
1400000US27053024600,"Census Tract 246, Hennepin County, Minnesota",73527,27053024600
1400000US27053024700,"Census Tract 247, Hennepin County, Minnesota",80080,27053024700
1400000US27053024801,"Census Tract 248.01, Hennepin County, Minnesota",62279,27053024801
1400000US27053024802,"Census Tract 248.02, Hennepin County, Minnesota",48690,27053024802
1400000US27053024903,"Census Tract 249.03, Hennepin County, Minnesota",64250,27053024903
1400000US27053024904,"Census Tract 249.04, Hennepin County, Minnesota",74286,27053024904
1400000US27053025100,"Census Tract 251, Hennepin County, Minnesota",68913,27053025100
1400000US27053025201,"Census Tract 252.01, Hennepin County, Minnesota",65590,27053025201
1400000US27053025205,"Census Tract 252.05, Hennepin County, Minnesota",76164,27053025205
1400000US27053025301,"Census Tract 253.01, Hennepin County, Minnesota",84583,27053025301
