GEO_ID,NAME,Tot_pop,Pop_blw,Pct_blw,GEOID
1400000US27053000101,"Census Tract 1.01, Hennepin County, Minnesota",3416,308,9,27053000101
1400000US27053000102,"Census Tract 1.02, Hennepin County, Minnesota",4812,1091,22.7,27053000102
1400000US27053000300,"Census Tract 3, Hennepin County, Minnesota",3404,725,21.3,27053000300
1400000US27053000601,"Census Tract 6.01, Hennepin County, Minnesota",4603,389,8.5,27053000601
1400000US27053000603,"Census Tract 6.03, Hennepin County, Minnesota",3292,211,6.4,27053000603
1400000US27053001100,"Census Tract 11, Hennepin County, Minnesota",2004,297,14.8,27053001100
1400000US27053001700,"Census Tract 17, Hennepin County, Minnesota",2462,444,18,27053001700
1400000US27053002200,"Census Tract 22, Hennepin County, Minnesota",1605,727,45.3,27053002200
1400000US27053002400,"Census Tract 24, Hennepin County, Minnesota",2412,356,14.8,27053002400
1400000US27053002700,"Census Tract 27, Hennepin County, Minnesota",2830,917,32.4,27053002700
1400000US27053003200,"Census Tract 32, Hennepin County, Minnesota",2228,526,23.6,27053003200
1400000US27053003300,"Census Tract 33, Hennepin County, Minnesota",2909,1093,37.6,27053003300
1400000US27053003801,"Census Tract 38.01, Hennepin County, Minnesota",2357,658,27.9,27053003801
1400000US27053003802,"Census Tract 38.02, Hennepin County, Minnesota",3189,2100,65.9,27053003802
1400000US27053005901,"Census Tract 59.01, Hennepin County, Minnesota",2635,1074,40.8,27053005901
1400000US27053005902,"Census Tract 59.02, Hennepin County, Minnesota",3739,1410,37.7,27053005902
1400000US27053006800,"Census Tract 68, Hennepin County, Minnesota",3811,1333,35,27053006800
1400000US27053007700,"Census Tract 77, Hennepin County, Minnesota",4718,237,5,27053007700
1400000US27053007801,"Census Tract 78.01, Hennepin County, Minnesota",1970,617,31.3,27053007801
1400000US27053008100,"Census Tract 81, Hennepin County, Minnesota",3632,598,16.5,27053008100
1400000US27053008200,"Census Tract 82, Hennepin County, Minnesota",3777,898,23.8,27053008200
1400000US27053008300,"Census Tract 83, Hennepin County, Minnesota",2061,636,30.9,27053008300
1400000US27053008400,"Census Tract 84, Hennepin County, Minnesota",2524,331,13.1,27053008400
1400000US27053008500,"Census Tract 85, Hennepin County, Minnesota",5065,1353,26.7,27053008500
1400000US27053009500,"Census Tract 95, Hennepin County, Minnesota",3077,363,11.8,27053009500
1400000US27053009600,"Census Tract 96, Hennepin County, Minnesota",3466,573,16.5,27053009600
1400000US27053010600,"Census Tract 106, Hennepin County, Minnesota",3305,30,0.9,27053010600
1400000US27053010700,"Census Tract 107, Hennepin County, Minnesota",2499,166,6.6,27053010700
1400000US27053011000,"Census Tract 110, Hennepin County, Minnesota",3638,63,1.7,27053011000
1400000US27053011703,"Census Tract 117.03, Hennepin County, Minnesota",4219,145,3.4,27053011703
1400000US27053011704,"Census Tract 117.04, Hennepin County, Minnesota",3236,84,2.6,27053011704
1400000US27053011800,"Census Tract 118, Hennepin County, Minnesota",4815,36,0.7,27053011800
1400000US27053011998,"Census Tract 119.98, Hennepin County, Minnesota",3837,164,4.3,27053011998
1400000US27053012001,"Census Tract 120.01, Hennepin County, Minnesota",6102,190,3.1,27053012001
1400000US27053012003,"Census Tract 120.03, Hennepin County, Minnesota",6071,1108,18.3,27053012003
1400000US27053012101,"Census Tract 121.01, Hennepin County, Minnesota",3026,891,29.4,27053012101
1400000US27053012102,"Census Tract 121.02, Hennepin County, Minnesota",3224,166,5.1,27053012102
