GEO_ID,NAME,GEOID,Total_pop,tWhite,tBl_AfAm,tAmIn_AlNa,tAsian,tNaHa_PaIs,tOther,tMultiple,pWhite,pBl_AfAm,pAmIn_AlNa,pAsian,pNaHa_PaIs,pOther,pMultiple
1400000US27053000101,"Census Tract 1.01, Hennepin County, Minnesota",27053000101,3351,1147,987,32,636,3,212,334,34.22858848,29.45389436,0.954938824,18.97940913,0.089525515,6.326469711,9.967173978
1400000US27053000102,"Census Tract 1.02, Hennepin County, Minnesota",27053000102,5178,1883,1658,81,659,0,284,613,36.36539204,32.02008497,1.564310545,12.72692159,0,5.484743144,11.8385477
1400000US27053000300,"Census Tract 3, Hennepin County, Minnesota",27053000300,3264,2140,540,42,85,2,102,353,65.56372549,16.54411765,1.286764706,2.604166667,0.06127451,3.125,10.81495098
1400000US27053000601,"Census Tract 6.01, Hennepin County, Minnesota",27053000601,4760,3579,324,54,96,2,270,435,75.18907563,6.806722689,1.134453782,2.016806723,0.042016807,5.672268908,9.138655462
1400000US27053000603,"Census Tract 6.03, Hennepin County, Minnesota",27053000603,2955,2392,103,31,97,0,99,233,80.94754653,3.485617597,1.049069374,3.282571912,0,3.350253807,7.884940778
1400000US27053001100,"Census Tract 11, Hennepin County, Minnesota",27053001100,2219,1537,223,24,50,2,181,202,69.26543488,10.04957188,1.081568274,2.253267237,0.090130689,8.1568274,9.103199639
1400000US27053001700,"Census Tract 17, Hennepin County, Minnesota",27053001700,2482,1302,696,21,48,0,210,205,52.45769541,28.04190169,0.846091861,1.933924255,0,8.460918614,8.259468171
1400000US27053002200,"Census Tract 22, Hennepin County, Minnesota",27053002200,1695,230,856,47,271,0,171,120,13.56932153,50.50147493,2.772861357,15.98820059,0,10.08849558,7.079646018
1400000US27053002400,"Census Tract 24, Hennepin County, Minnesota",27053002400,2746,1985,423,28,46,0,104,160,72.28696286,15.40422433,1.019664967,1.675163875,0,3.787327021,5.826656956
1400000US27053002700,"Census Tract 27, Hennepin County, Minnesota",27053002700,2816,537,1459,52,305,2,185,276,19.06960227,51.81107955,1.846590909,10.83096591,0.071022727,6.569602273,9.801136364
1400000US27053003200,"Census Tract 32, Hennepin County, Minnesota",27053003200,1844,535,883,28,123,0,82,193,29.01301518,47.88503254,1.518438178,6.670281996,0,4.446854664,10.46637744
1400000US27053003300,"Census Tract 33, Hennepin County, Minnesota",27053003300,2633,231,1616,54,333,1,210,188,8.773262438,61.37485758,2.050892518,12.64717053,0.037979491,7.975693126,7.140144322
1400000US27053003801,"Census Tract 38.01, Hennepin County, Minnesota",27053003801,3085,2068,322,31,295,2,106,261,67.03403566,10.4376013,1.004862237,9.562398703,0.064829822,3.435980551,8.460291734
1400000US27053003802,"Census Tract 38.02, Hennepin County, Minnesota",27053003802,3462,2693,166,11,366,6,56,164,77.78740612,4.794916233,0.317735413,10.57192374,0.173310225,1.617562103,4.737146158
1400000US27053005901,"Census Tract 59.01, Hennepin County, Minnesota",27053005901,3069,1197,1388,75,95,7,99,208,39.00293255,45.22645813,2.443792766,3.095470837,0.228087325,3.225806452,6.777451939
1400000US27053005902,"Census Tract 59.02, Hennepin County, Minnesota",27053005902,3619,775,1929,203,59,4,376,273,21.41475546,53.30201713,5.609284333,1.630284609,0.11052777,10.38961039,7.543520309
1400000US27053006800,"Census Tract 68, Hennepin County, Minnesota",27053006800,4211,2555,852,71,146,1,244,342,60.67442413,20.23272382,1.686060318,3.46710995,0.023747328,5.794348136,8.121586322
1400000US27053007700,"Census Tract 77, Hennepin County, Minnesota",27053007700,5710,3439,1220,68,294,9,295,385,60.22767075,21.36602452,1.19089317,5.148861646,0.157618214,5.166374781,6.742556918
1400000US27053007801,"Census Tract 78.01, Hennepin County, Minnesota",27053007801,1972,612,755,79,80,3,324,119,31.03448276,38.28600406,4.006085193,4.056795132,0.152129817,16.43002028,6.034482759
1400000US27053008100,"Census Tract 81, Hennepin County, Minnesota",27053008100,3497,2868,154,13,112,2,93,255,82.01315413,4.403774664,0.371747212,3.20274521,0.057191879,2.659422362,7.291964541
1400000US27053008200,"Census Tract 82, Hennepin County, Minnesota",27053008200,4277,1933,1347,62,65,1,550,319,45.1952303,31.49403788,1.449614216,1.519756839,0.023380874,12.85948094,7.458498948
1400000US27053008300,"Census Tract 83, Hennepin County, Minnesota",27053008300,2106,673,471,75,85,3,598,201,31.95631529,22.36467236,3.561253561,4.036087369,0.142450142,28.39506173,9.544159544
1400000US27053008400,"Census Tract 84, Hennepin County, Minnesota",27053008400,2896,901,721,80,61,3,734,396,31.11187845,24.89640884,2.762430939,2.106353591,0.10359116,25.34530387,13.67403315
1400000US27053008500,"Census Tract 85, Hennepin County, Minnesota",27053008500,4069,1755,553,182,92,1,951,535,43.13099042,13.59056279,4.47284345,2.260997788,0.024576063,23.37183583,13.14819366
1400000US27053009500,"Census Tract 95, Hennepin County, Minnesota",27053009500,2865,1238,546,85,97,1,557,341,43.21116928,19.05759162,2.966841187,3.385689354,0.034904014,19.44153578,11.90226876
1400000US27053009600,"Census Tract 96, Hennepin County, Minnesota",27053009600,3321,2149,450,78,76,5,221,342,64.70942487,13.5501355,2.348690154,2.288467329,0.150557061,6.654622102,10.29810298
1400000US27053010600,"Census Tract 106, Hennepin County, Minnesota",27053010600,2844,2517,27,2,82,0,17,199,88.5021097,0.949367089,0.070323488,2.88326301,0,0.597749648,6.99718706
1400000US27053010700,"Census Tract 107, Hennepin County, Minnesota",27053010700,2491,2185,25,1,68,1,21,190,87.7157768,1.003613007,0.04014452,2.729827379,0.04014452,0.843034926,7.627458852
1400000US27053011000,"Census Tract 110, Hennepin County, Minnesota",27053011000,3539,2764,253,31,78,1,113,299,78.10115852,7.148912122,0.875953659,2.204012433,0.02825657,3.192992371,8.448714326
1400000US27053011703,"Census Tract 117.03, Hennepin County, Minnesota",27053011703,4274,3717,84,26,104,4,64,275,86.96771175,1.965372017,0.608329434,2.433317735,0.093589144,1.497426299,6.434253627
1400000US27053011704,"Census Tract 117.04, Hennepin County, Minnesota",27053011704,3379,2707,176,10,70,0,114,302,80.11245931,5.20864161,0.295945546,2.071618822,0,3.373779225,8.93755549
1400000US27053011800,"Census Tract 118, Hennepin County, Minnesota",27053011800,4721,3980,156,48,117,2,92,326,84.30417284,3.304384664,1.016733743,2.478288498,0.042363906,1.948739674,6.90531667
1400000US27053011998,"Census Tract 119.98, Hennepin County, Minnesota",27053011998,4292,3417,302,42,89,0,105,337,79.61323392,7.036346692,0.978564772,2.073625349,0,2.446411929,7.851817335
1400000US27053012001,"Census Tract 120.01, Hennepin County, Minnesota",27053012001,6331,5203,316,20,196,0,134,462,82.18290949,4.991312589,0.31590586,3.095877429,0,2.116569262,7.297425367
1400000US27053012003,"Census Tract 120.03, Hennepin County, Minnesota",27053012003,5290,3005,1067,71,152,2,489,504,56.80529301,20.17013233,1.342155009,2.873345936,0.037807183,9.243856333,9.527410208
1400000US27053012101,"Census Tract 121.01, Hennepin County, Minnesota",27053012101,3004,1570,597,82,73,1,372,309,52.26364847,19.873502,2.729693742,2.430093209,0.033288948,12.38348868,10.28628495
1400000US27053012102,"Census Tract 121.02, Hennepin County, Minnesota",27053012102,2935,2114,226,43,71,0,173,308,72.02725724,7.700170358,1.465076661,2.419080068,0,5.894378194,10.49403748
1400000US27053020101,"Census Tract 201.01, Hennepin County, Minnesota",27053020101,3386,2848,89,14,169,0,41,225,84.11104548,2.628470171,0.413467218,4.991139988,0,1.210868281,6.64500886
1400000US27053020102,"Census Tract 201.02, Hennepin County, Minnesota",27053020102,2226,1892,89,4,86,0,37,118,84.99550764,3.998203055,0.179694519,3.863432165,0,1.662174304,5.30098832
1400000US27053020201,"Census Tract 202.01, Hennepin County, Minnesota",27053020201,2996,803,1285,39,484,5,186,194,26.8024032,42.89052069,1.301735648,16.15487316,0.166889186,6.208277704,6.475300401
1400000US27053020202,"Census Tract 202.02, Hennepin County, Minnesota",27053020202,5278,1489,1978,86,752,0,523,450,28.21144373,37.47631679,1.629405078,14.24782114,0,9.909056461,8.525956802
1400000US27053020301,"Census Tract 203.01, Hennepin County, Minnesota",27053020301,2973,1130,716,39,641,0,219,228,38.00874538,24.08341742,1.311806256,21.56071308,0,7.36629667,7.669021191
1400000US27053020302,"Census Tract 203.02, Hennepin County, Minnesota",27053020302,2670,852,976,13,444,0,129,256,31.91011236,36.55430712,0.486891386,16.62921348,0,4.831460674,9.588014981
1400000US27053020303,"Census Tract 203.03, Hennepin County, Minnesota",27053020303,4361,1531,730,54,1334,0,412,300,35.10662692,16.73927998,1.238248108,30.58931438,0,9.447374455,6.879156157
1400000US27053020304,"Census Tract 203.04, Hennepin County, Minnesota",27053020304,3841,1060,1034,43,866,0,463,375,27.59697995,26.9200729,1.11950013,22.54621192,0,12.05415256,9.763082531
1400000US27053020400,"Census Tract 204, Hennepin County, Minnesota",27053020400,5169,2103,1459,73,767,1,313,453,40.684852,28.22596247,1.412265429,14.83846005,0.019346102,6.055329851,8.763784098
1400000US27053020500,"Census Tract 205, Hennepin County, Minnesota",27053020500,4090,1631,853,74,661,1,334,536,39.87775061,20.85574572,1.809290954,16.16136919,0.024449878,8.166259169,13.10513447
1400000US27053020600,"Census Tract 206, Hennepin County, Minnesota",27053020600,2404,1029,418,37,476,0,195,249,42.80366057,17.38768719,1.539101498,19.80033278,0,8.111480865,10.3577371
