STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
27,053,111100,27053111100,1111,Census Tract 1111,G5020,S,2113228.000000000000000,216827.000000000000000,+44.9210857,-093.2406928,0.084256341923023,0.000265554573020
27,053,111200,27053111200,1112,Census Tract 1112,G5020,S,1129921.000000000000000,0.000000000000000,+44.9115973,-093.3239407,0.045671273006533,0.000128754995792
27,053,111300,27053111300,1113,Census Tract 1113,G5020,S,1776103.000000000000000,0.000000000000000,+44.9072985,-093.3093354,0.062768973801502,0.000202373739666
27,053,111400,27053111400,1114,Census Tract 1114,G5020,S,1439830.000000000000000,0.000000000000000,+44.9080472,-093.2941751,0.060413146881551,0.000164060287790
27,053,111500,27053111500,1115,Census Tract 1115,G5020,S,2187487.000000000000000,0.000000000000000,+44.9068451,-093.2815727,0.065419516683217,0.000249245697873
27,053,111600,27053111600,1116,Census Tract 1116,G5020,S,1335477.000000000000000,0.000000000000000,+44.9097606,-093.2686613,0.049770706256094,0.000152173516249
27,053,122500,27053122500,1225,Census Tract 1225,G5020,S,1863743.000000000000000,26238.000000000000000,+44.9430151,-093.3744773,0.071073921071891,0.000215469152896
27,053,122600,27053122600,1226,Census Tract 1226,G5020,S,1314095.000000000000000,0.000000000000000,+44.9439211,-093.3640444,0.049712765077006,0.000149825967376
27,053,125500,27053125500,1255,Census Tract 1255,G5020,S,3998744.000000000000000,14576.000000000000000,+44.8453252,-093.2904665,0.097751755630087,0.000456807923778
27,053,022902,27053022902,229.02,Census Tract 229.02,G5020,S,834815.000000000000000,6186.000000000000000,+44.9243410,-093.3449750,0.045257013501515,0.000095854103385
27,053,027203,27053027203,272.03,Census Tract 272.03,G5020,S,4405610.000000000000000,6697904.000000000000000,+44.9330916,-093.6040892,0.192727703144372,0.001265732921115
27,053,027601,27053027601,276.01,Census Tract 276.01,G5020,S,2668283.000000000000000,1946085.000000000000000,+44.9458840,-093.6590025,0.120591735111967,0.000526094043062
27,053,027602,27053027602,276.02,Census Tract 276.02,G5020,S,4741564.000000000000000,3797582.000000000000000,+44.9196159,-093.6590185,0.163422068059268,0.000973305420580
27,053,100200,27053100200,1002,Census Tract 1002,G5020,S,1505081.000000000000000,22513.000000000000000,+45.0360622,-093.3059772,0.088979623247985,0.000174444129243
27,053,100400,27053100400,1004,Census Tract 1004,G5020,S,1827015.000000000000000,114675.000000000000000,+45.0285888,-093.2950795,0.077584217380259,0.000221699953461
27,053,100500,27053100500,1005,Census Tract 1005,G5020,S,3028726.000000000000000,240592.000000000000000,+45.0258747,-093.2709248,0.085238983260383,0.000373273478329
27,053,100900,27053100900,1009,Census Tract 1009,G5020,S,1805013.000000000000000,112169.000000000000000,+45.0175949,-093.2872546,0.062863784042920,0.000218865867348
